-------------------Pass: 0------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
1103	6/30/1995	  A	      B
792	12/31/2002	  A	      B
794	12/31/2002	  F	      B
796	12/31/2002	  B	      C
798	12/31/2002	  A	      B
805	12/31/2002	  A	      D
808	12/31/2002	  A	      B
809	12/31/2002	  A	      C
823	12/31/2002	  A	      F
832	12/31/2002	  B	      A
833	12/31/2002	  A	      D
-------------------------------------------------
 
-----------False positives in fold no.2----------
 
rm_key | statement_date | predicted | actual 
880	12/31/2002	  A	      D
883	12/31/2002	  A	      B
910	12/31/2002	  C	      F
944	12/31/2002	  A	      B
953	12/31/2002	  A	      B
972	12/31/2002	  D	      A
974	12/31/2002	  A	      F
976	12/31/2002	  B	      D
980	12/31/2002	  B	      F
981	12/31/2002	  A	      F
988	12/31/2002	  A	      B
992	12/31/2002	  C	      F
993	12/31/2002	  C	      D
998	12/31/2002	  A	      F
1005	12/31/2002	  A	      D
1006	12/31/2002	  A	      B
1008	12/31/2002	  B	      D
1010	12/31/2002	  A	      C
1048	12/31/2002	  F	      B
1049	12/31/2002	  A	      B
1054	12/31/2002	  A	      B
1061	12/31/2002	  A	      B
1067	12/31/2002	  A	      D
629	12/31/2003	  A	      B
675	12/31/2003	  A	      F
677	12/31/2003	  F	      B
681	12/31/2003	  A	      B
684	12/31/2003	  B	      D
686	12/31/2003	  A	      C
687	12/31/2003	  A	      D
698	12/31/2003	  A	      C
699	12/31/2003	  B	      D
700	12/31/2003	  A	      B
706	12/31/2003	  A	      B
707	12/31/2003	  A	      B
712	12/31/2003	  B	      A
720	12/31/2003	  A	      B
722	12/31/2003	  C	      F
744	12/31/2003	  B	      C
745	12/31/2003	  A	      B
751	12/31/2003	  B	      F
757	12/31/2003	  A	      B
758	12/31/2003	  A	      B
759	12/31/2003	  C	      B
760	12/31/2003	  A	      C
766	12/31/2003	  A	      B
767	12/31/2003	  A	      C
769	12/31/2003	  A	      F
771	12/31/2003	  B	      F
781	12/31/2003	  A	      C
784	12/31/2003	  A	      F
786	12/31/2003	  F	      A
788	12/31/2003	  A	      B
789	12/31/2003	  C	      F
790	12/31/2003	  A	      B
794	12/31/2003	  F	      B
796	12/31/2003	  F	      B
798	12/31/2003	  A	      B
803	12/31/2003	  A	      D
808	12/31/2003	  B	      A
809	12/31/2003	  C	      A
814	12/31/2003	  B	      F
817	12/31/2003	  A	      D
823	12/31/2003	  A	      B
833	12/31/2003	  A	      D
836	12/31/2003	  A	      B
840	12/31/2003	  A	      D
888	12/31/2003	  A	      B
904	12/31/2003	  A	      D
910	12/31/2003	  C	      F
917	12/31/2003	  A	      B
953	12/31/2003	  A	      F
955	12/31/2003	  A	      B
957	12/31/2003	  A	      B
972	12/31/2003	  A	      D
976	12/31/2003	  B	      F
977	12/31/2003	  A	      B
979	12/31/2003	  A	      B
980	12/31/2003	  B	      D
981	12/31/2003	  A	      C
-------------------------------------------------
 
-----------False positives in fold no.3----------
 
rm_key | statement_date | predicted | actual 
988	12/31/2003	  A	      F
992	12/31/2003	  C	      F
993	12/31/2003	  C	      D
996	12/31/2003	  A	      B
997	12/31/2003	  A	      D
1000	12/31/2003	  A	      F
1004	12/31/2003	  B	      A
1006	12/31/2003	  A	      B
1010	12/31/2003	  A	      F
1044	12/31/2003	  A	      D
1046	12/31/2003	  A	      F
1048	12/31/2003	  A	      B
1049	12/31/2003	  B	      A
1050	12/31/2003	  F	      C
1051	12/31/2003	  A	      B
1054	12/31/2003	  A	      B
1061	12/31/2003	  A	      B
1150	12/31/2003	  A	      D
259	12/31/2004	  A	      D
372	12/31/2004	  A	      B
449	12/31/2004	  A	      D
454	12/31/2004	  B	      A
629	12/31/2004	  A	      C
632	12/31/2004	  A	      B
660	12/31/2004	  B	      A
667	12/31/2004	  C	      B
669	12/31/2004	  A	      B
671	12/31/2004	  A	      D
677	12/31/2004	  F	      C
681	12/31/2004	  A	      B
682	12/31/2004	  A	      D
684	12/31/2004	  B	      C
686	12/31/2004	  A	      F
690	12/31/2004	  A	      D
698	12/31/2004	  A	      F
700	12/31/2004	  A	      F
706	12/31/2004	  A	      B
708	12/31/2004	  A	      D
714	12/31/2004	  A	      D
718	12/31/2004	  A	      C
719	12/31/2004	  A	      D
720	12/31/2004	  B	      C
722	12/31/2004	  F	      C
744	12/31/2004	  B	      C
745	12/31/2004	  B	      A
746	12/31/2004	  A	      B
751	12/31/2004	  F	      B
755	12/31/2004	  F	      A
756	12/31/2004	  A	      D
758	12/31/2004	  A	      D
759	12/31/2004	  C	      B
760	12/31/2004	  A	      D
766	12/31/2004	  A	      B
769	12/31/2004	  A	      F
771	12/31/2004	  F	      B
772	12/31/2004	  A	      B
780	12/31/2004	  A	      D
781	12/31/2004	  B	      C
783	12/31/2004	  B	      F
784	12/31/2004	  A	      C
786	12/31/2004	  A	      C
788	12/31/2004	  A	      C
789	12/31/2004	  A	      C
790	12/31/2004	  A	      B
794	12/31/2004	  A	      C
796	12/31/2004	  F	      B
803	12/31/2004	  A	      C
808	12/31/2004	  A	      D
809	12/31/2004	  A	      C
817	12/31/2004	  A	      B
831	12/31/2004	  A	      D
832	12/31/2004	  B	      D
834	12/31/2004	  A	      D
835	12/31/2004	  A	      B
902	12/31/2004	  A	      B
917	12/31/2004	  A	      B
953	12/31/2004	  A	      B
955	12/31/2004	  C	      D
957	12/31/2004	  A	      B
972	12/31/2004	  A	      D
976	12/31/2004	  B	      F
977	12/31/2004	  A	      B
979	12/31/2004	  A	      C
980	12/31/2004	  A	      F
981	12/31/2004	  A	      C
985	12/31/2004	  B	      C
987	12/31/2004	  A	      B
988	12/31/2004	  A	      C
992	12/31/2004	  A	      C
993	12/31/2004	  C	      F
996	12/31/2004	  A	      B
997	12/31/2004	  A	      D
1000	12/31/2004	  A	      B
1002	12/31/2004	  B	      D
1004	12/31/2004	  B	      A
1005	12/31/2004	  A	      D
1006	12/31/2004	  A	      B
1007	12/31/2004	  A	      B
1011	12/31/2004	  A	      D
1013	12/31/2004	  A	      F
1044	12/31/2004	  A	      D
1046	12/31/2004	  A	      B
1048	12/31/2004	  A	      B
1049	12/31/2004	  B	      A
1050	12/31/2004	  F	      C
1051	12/31/2004	  A	      B
1054	12/31/2004	  A	      B
1061	12/31/2004	  A	      B
1062	12/31/2004	  A	      B
1068	12/31/2004	  A	      D
1150	12/31/2004	  A	      D
1163	12/31/2004	  A	      C
1164	12/31/2004	  A	      D
-------------------------------------------------
 
-----------False positives in fold no.4----------
 
rm_key | statement_date | predicted | actual 
815	9/30/2009	  A	      B
252	12/31/2009	  A	      D
253	12/31/2009	  A	      B
258	12/31/2009	  A	      D
311	12/31/2009	  B	      A
447	12/31/2009	  A	      B
449	12/31/2009	  A	      C
454	12/31/2009	  A	      B
501	12/31/2009	  A	      C
530	12/31/2009	  A	      B
541	12/31/2009	  D	      A
542	12/31/2009	  D	      A
592	12/31/2009	  A	      C
627	12/31/2009	  A	      D
629	12/31/2009	  B	      F
637	12/31/2009	  A	      D
655	12/31/2009	  D	      B
660	12/31/2009	  B	      C
668	12/31/2009	  A	      C
669	12/31/2009	  B	      A
674	12/31/2009	  A	      B
675	12/31/2009	  B	      A
677	12/31/2009	  B	      F
681	12/31/2009	  B	      A
686	12/31/2009	  A	      B
691	12/31/2009	  A	      B
699	12/31/2009	  A	      B
700	12/31/2009	  C	      B
706	12/31/2009	  B	      A
712	12/31/2009	  A	      B
716	12/31/2009	  C	      A
718	12/31/2009	  C	      A
720	12/31/2009	  B	      A
722	12/31/2009	  A	      F
744	12/31/2009	  C	      B
745	12/31/2009	  A	      B
749	12/31/2009	  A	      C
751	12/31/2009	  B	      D
752	12/31/2009	  A	      F
755	12/31/2009	  C	      A
759	12/31/2009	  B	      C
760	12/31/2009	  A	      B
766	12/31/2009	  B	      A
767	12/31/2009	  A	      B
769	12/31/2009	  A	      B
771	12/31/2009	  B	      F
780	12/31/2009	  A	      B
781	12/31/2009	  C	      B
786	12/31/2009	  A	      F
789	12/31/2009	  C	      B
790	12/31/2009	  A	      B
792	12/31/2009	  B	      A
793	12/31/2009	  A	      B
794	12/31/2009	  B	      F
795	12/31/2009	  A	      B
796	12/31/2009	  B	      F
798	12/31/2009	  A	      B
800	12/31/2009	  A	      B
805	12/31/2009	  A	      C
808	12/31/2009	  A	      B
809	12/31/2009	  C	      A
810	12/31/2009	  A	      B
817	12/31/2009	  D	      A
818	12/31/2009	  A	      B
836	12/31/2009	  A	      B
855	12/31/2009	  A	      B
865	12/31/2009	  C	      D
890	12/31/2009	  A	      B
904	12/31/2009	  A	      D
917	12/31/2009	  B	      A
938	12/31/2009	  A	      C
965	12/31/2009	  A	      B
972	12/31/2009	  A	      B
977	12/31/2009	  A	      B
985	12/31/2009	  A	      B
986	12/31/2009	  A	      B
987	12/31/2009	  A	      B
991	12/31/2009	  A	      B
992	12/31/2009	  D	      C
993	12/31/2009	  A	      B
995	12/31/2009	  D	      C
996	12/31/2009	  B	      A
1000	12/31/2009	  B	      A
1002	12/31/2009	  D	      B
1003	12/31/2009	  A	      B
1004	12/31/2009	  A	      B
1005	12/31/2009	  A	      B
1006	12/31/2009	  B	      A
1008	12/31/2009	  A	      B
1010	12/31/2009	  A	      C
1011	12/31/2009	  A	      B
1013	12/31/2009	  A	      F
1038	12/31/2009	  A	      B
1040	12/31/2009	  A	      B
1042	12/31/2009	  A	      B
1046	12/31/2009	  A	      B
1048	12/31/2009	  A	      F
1049	12/31/2009	  A	      B
1050	12/31/2009	  C	      D
1052	12/31/2009	  A	      B
1054	12/31/2009	  A	      D
1059	12/31/2009	  A	      C
1061	12/31/2009	  A	      B
1065	12/31/2009	  A	      B
1080	12/31/2009	  A	      B
1081	12/31/2009	  A	      D
1143	12/31/2009	  A	      F
1150	12/31/2009	  A	      D
1164	12/31/2009	  A	      B
-------------------------------------------------
 
Total false positives :510.0
Total Prediction Accuracy: 71.63515016685206
Total A's: 1257.0, Correctly Predicted A's: 906.0, Accuracy: 72.0763723150358
Total B's: 270.0, Correctly Predicted B's: 186.0, Accuracy: 68.88888888888889
Total C's: 101.0, Correctly Predicted C's: 67.0, Accuracy: 66.33663366336634
Total D's: 78.0, Correctly Predicted D's: 63.0, Accuracy: 80.76923076923077
Total F's: 92.0, Correctly Predicted F's: 66.0, Accuracy: 71.73913043478261



